GJ0015                , J001823.3+440124 , elodie:19961029/0019 ,   60   
GJ0015                , J001823.3+440124 , elodie:19961101/0018 ,   68   
GJ0015                , J001823.3+440124 , elodie:19971026/0031 ,   77   
GJ0015                , J001823.3+440124 , elodie:19980727/0019 ,   38   
GJ0015                , J001823.3+440124 , elodie:19981211/0014 ,   14   
GJ0015                , J001823.3+440124 , elodie:19981213/0014 ,   28   
GJ0015                , J001823.3+440124 , elodie:19990930/0025 ,   62   
GJ0015                , J001823.3+440124 , elodie:19991117/0024 ,   14   
GJ0015                , J001823.3+440124 , elodie:19991117/0026 ,   51   
GJ0015                , J001823.3+440124 , elodie:20000815/0028 ,   69   
GJ0015                , J001823.3+440124 , elodie:20001002/0019 ,   42   
GJ0015                , J001823.3+440124 , elodie:20001126/0011 ,   39   
GJ0015                , J001823.3+440124 , elodie:20010831/0033 ,   46   
HD001400              , J001828.8+621210 , elodie:20001211/0006 ,  120   
GJ0015                , J001825.5+440144 , elodie:19960820/0020 ,   17   
GJ0015                , J001825.5+440144 , elodie:19961029/0018 ,   16   
GJ0015                , J001825.5+440144 , elodie:19961101/0017 ,   24   
GJ0015                , J001825.5+440144 , elodie:19971026/0030 ,   22   
GJ0015                , J001825.5+440144 , elodie:19981211/0015 ,    6   
GJ0015                , J001825.5+440144 , elodie:19981213/0015 ,   12   
GJ0015                , J001825.5+440144 , elodie:19990930/0027 ,   15   
GJ0015                , J001825.5+440144 , elodie:20001126/0010 ,   10   
GJ0015                , J001825.5+440144 , elodie:20010831/0034 ,   13   
HD001438              , J001842.2+434728 , elodie:19991202/0008 ,  131   
HD001438              , J001842.2+434728 , elodie:19991203/0007 ,   93   
HD001461              , J001841.0-080309 , elodie:19981203/0014 ,  105   
HD001457              , J001900.0+602007 , elodie:20001010/0008 ,   96   
HD001497              , J001912.0+133438 , elodie:19981130/0017 ,   58   
HD001497              , J001912.8+133437 , elodie:20050813/0021 ,   23   
HD001562A             , J002000.3+381335 , elodie:19990830/0030 ,  104   
HD001562A             , J002000.3+381335 , elodie:20000802/0020 ,   90   
HD001562A             , J002000.3+381335 , elodie:20000827/0025 ,   67   
HD001562A             , J002000.3+381335 , elodie:20010212/0006 ,   44   
HD001562A             , J002000.3+381335 , elodie:20010212/0007 ,   40   
HD001562A             , J002000.3+381335 , elodie:20010820/0029 ,  112   
HD001562A             , J002000.3+381335 , elodie:20010908/0022 ,   97   
HD001562A             , J002000.4+381338 , elodie:19970908/0041 ,  110   
HD001562A             , J002000.4+381338 , elodie:19970909/0039 ,  104   
HD001562A             , J002000.4+381338 , elodie:19970910/0033 ,  113   
HD001562A             , J002000.4+381338 , elodie:19980109/0012 ,  129   
J001951.0+441256      , J002000.4+381338 , elodie:19980804/0037 ,   97   
HD001562A             , J002000.4+381338 , elodie:19980828/0029 ,   74   
HD001562A             , J002000.4+381338 , elodie:19980828/0028 ,   74   
HD001562A             , J002000.4+381338 , elodie:19981205/0016 ,   69   
HD001562A             , J002000.4+381338 , elodie:20020915/0025 ,   89   
HD001562A             , J002000.4+381338 , elodie:20040122/0012 ,   45   
HD001562              , J002000.4+381338 , elodie:20040929/0022 ,  110   
HD001594              , J002010.0-130341 , elodie:19990107/0008 ,   27   
HD001671              , J002107.3+375807 , elodie:19990810/0035 ,  316   
J001654.2+375643      , J002108.3+375755 , elodie:19960812/0009 ,   83   
J002518.0+375511      , J002108.3+375755 , elodie:19960812/0008 ,   49   
HD001677A             , J002109.2+355244 , elodie:20000720/0027 ,  146   
HD001677A             , J002109.2+355244 , elodie:20000721/0032 ,  125   
HD001677A             , J002109.2+355244 , elodie:20000722/0038 ,   97   
HD001677A             , J002109.2+355244 , elodie:20000724/0035 ,   67   
HD001677A             , J002109.2+355244 , elodie:20000726/0035 ,   88   
HD001677A             , J002109.2+355244 , elodie:20001110/0031 ,   60   
HD001677A             , J002109.2+355244 , elodie:20001114/0026 ,   75   
HD001677A             , J002109.2+355244 , elodie:20010805/0028 ,   53   
HD001677A             , J002109.2+355244 , elodie:20010806/0031 ,   72   
HD001677A             , J002109.2+355244 , elodie:20010807/0032 ,  100   
S163                  , J002219.8+613923 , elodie:20041022/0012 ,    7   
J002226.5+614940      , J002226.5+614940 , elodie:20041023/0012 ,   22   
N/A                   , J002221.9+455129 , elodie:19970325/0011 ,   4   
HD001795              , J002223.0+265946 , elodie:19981106/0033 ,   84   
HD001795              , J002223.0+265946 , elodie:19990928/0031 ,   12   
HD001835              , J002252.0-121235 , elodie:20010813/0029 ,  120   
HD001835              , J002252.0-121234 , elodie:19980811/0028 ,  152   
HD001835              , J002252.0-121234 , elodie:19980901/0028 ,  131   
HD001835              , J002252.0-121234 , elodie:19991222/0008 ,  145   
HD001832              , J002300.0+222231 , elodie:19981202/0016 ,   36   
HD001832              , J002300.1+222230 , elodie:20020916/0014 ,   60   
HD001832              , J002300.1+222230 , elodie:20021013/0008 ,   77   
HD001832              , J002300.1+222230 , elodie:20030902/0034 ,   74   
HD001832              , J002300.2+222230 , elodie:19970908/0039 ,   86   
HD001832              , J002300.2+222230 , elodie:19970910/0036 ,  109   
HD001832              , J002300.2+222230 , elodie:19970914/0014 ,   57   
HD001832              , J002300.2+222230 , elodie:19970914/0015 ,   76   
HD001832              , J002300.2+222230 , elodie:19980109/0014 ,  112   
HD001832              , J002300.2+222230 , elodie:19980830/0030 ,   66   
HD001832              , J002300.2+222230 , elodie:19981206/0015 ,   39   
HD001832              , J002300.3+222228 , elodie:19990831/0030 ,   89   
HD001832              , J002300.3+222228 , elodie:20000802/0024 ,   50   
HD001832              , J002300.3+222228 , elodie:20000827/0026 ,   49   
HD001832              , J002300.3+222228 , elodie:20010815/0020 ,   65   
HD001832              , J002300.3+222228 , elodie:20010908/0025 ,   60   
J002341.9+771119      , J002341.9+771119 , elodie:19950114/0010 ,   37   
HD001967              , J002402.0+383439 , elodie:20000809/0032 ,  125   
HD001976              , J002415.0+520111 , elodie:20020920/0011 ,  365   
HD001976A             , J002415.7+520111 , elodie:20040120/0008 ,  224   
J002415.7+520112      , J002415.7+520112 , elodie:20040121/0016 ,  239   
HD002313              , J002700.4+310955 , elodie:20020129/0024 ,   44   
S175                  , J002717.4+644218 , elodie:20041024/0017 ,    8   
S175                  , J002717.4+644218 , elodie:20041024/0016 ,    8   
HD002330              , J002726.6+261643 , elodie:20050828/0023 ,   89   
HD002330              , J002726.6+261643 , elodie:20050829/0021 ,   89   
HD002330              , J002726.6+261643 , elodie:20050830/0024 ,   56   
HD002330              , J002726.6+261643 , elodie:20050912/0019 ,   72   
HD002330              , J002726.6+261643 , elodie:20051025/0013 ,   90   
HD002330              , J002727.0+261644 , elodie:19990926/0041 ,   41   
HD002411              , J002755.5+175253 , elodie:20020129/0023 ,  110   
HD002411              , J002802.0+175335 , elodie:20040211/0020 ,   37   
HD002435              , J002816.7+280338 , elodie:20050806/0024 ,   26   
HD002453              , J002826.8+322635 , elodie:19960922/0023 ,   60   
J002848.0+591721A     , J002848.0+591721 , elodie:19980818/0021 ,    3   
HD002506              , J002914.3+592810 , elodie:20001216/0006 ,   72   
HD002550              , J002923.0+405030 , elodie:19981202/0017 ,   26   
HD002550              , J002923.6+405030 , elodie:20050829/0022 ,   81   
HD002550              , J002923.6+405030 , elodie:20060120/0007 ,   52   
HD002520              , J003001.8+751434 , elodie:20040928/0018 ,   44   
HD002637              , J002949.4-035848 , elodie:20040212/0006 ,   37   
HD002628              , J003007.0+294506 , elodie:20000822/0025 ,  294   
HD002628              , J003007.0+294509 , elodie:19951007/0022 ,  118   
HD002628              , J003007.0+294509 , elodie:19951007/0019 ,  289   
HD002628              , J003007.0+294509 , elodie:19951007/0021 ,  116   
HD002628              , J003007.0+294509 , elodie:19951007/0020 ,  115   
HD002628              , J003007.0+294509 , elodie:19951007/0023 ,  116   
HD002628              , J003007.0+294509 , elodie:19951008/0016 ,  103   
HD002628              , J003007.0+294509 , elodie:19951008/0020 ,  113   
HD002628              , J003007.0+294509 , elodie:19951008/0014 ,  104   
HD002628              , J003007.0+294509 , elodie:19951008/0017 ,  108   
HD002628              , J003007.0+294509 , elodie:19951008/0022 ,  188   
HD002628              , J003007.0+294509 , elodie:19951008/0021 ,  176   
HD002628              , J003007.0+294509 , elodie:19951008/0023 ,  185   
HD002628              , J003007.0+294509 , elodie:19951008/0019 ,  112   
HD002628              , J003007.0+294509 , elodie:19951008/0013 ,  110   
HD002628              , J003007.0+294509 , elodie:19951008/0018 ,   93   
